Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook launches $5 billion IPO,Business First of Louisville,2/1/2012,520,"Facebook Inc. filed its much anticipated registration statement with the U.S. Securities and Exchange Commission late Wednesday, announcing plans to raise more than $5 billion through an initial public stock offering.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Files for $5 Billion IPO,Business Review USA,2/1/2012,234,"U.S., Feb. 1 -- The moment the tech world has been waiting for has arrived-Facebook has officially filed registration documents with the Securities and Exchange Commission for an initial amount of $5 billion.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook IPO and Beyond, MIT Sloan Expert Sees Rich New Revenue Source",Business Wire,2/1/2012,620,"Research finds ""huge untapped potential"" in social advertising 
CAMBRIDGE, Mass.--(BUSINESS WIRE)--February 01, 2012-- With Facebook's initial public offering this week, the social networking giant can look ahead to a ...",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Media Say Children's Suit by Korein Tillery Against Facebook for Using Names in Advertising Could Impact Impending IPO,Business Wire,2/1/2012,589,"ST. LOUIS--(BUSINESS WIRE)--February 01, 2012--  Just days before Facebook plans to launch its Initial Public Offering (IPO) of stock to investors, the potential financial liability facing the company in a federal suit filed Korein Tillery ...",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook with a twist? Many investors expect an IPO surprise today,Charleston Gazette,2/1/2012,1512,"NEW YORK - Facebook founder Mark Zuckerberg turns up at business conventions in a hoodie. ""Cocky"" is the word used to describe him most often, after ""billionaire."" He was Time's person of the year at 26.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook readies for blockbuster IPO,CNN Wire,2/1/2012,661,"Editors: Republishes for Wednesday. NEW YORK (CNN) -- Facebook's long-awaited IPO filing could come as early as Wednesday, according to several news reports.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook files for $5 billion IPO Facebook files for $5 billion IPO Facebook files for $5 billion IPO Facebook files for $5 billion IPO Facebook files for $5 billion IPO Facebook files for $5 billion IPO,CNN Wire,2/1/2012,370,"NEW YORK (CNNMoney) -- At long last, the Holy Grail of Internet IPOs is here. Facebook filed Wednesday to raise $5 billion in an initial public offering.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Morgan Stanley is big winner,CNN Wire,2/1/2012,491,"NEW YORK (CNNMoney) -- If there's a crown jewel in the world of initial public offerings, it's Facebook. And the banking winner is Morgan Stanley.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook files for $5 billion IPO,CNN Wire,2/1/2012,439,,Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook files for $5 billion IPO Facebook files for $5 billion IPO Facebook files for $5 billion IPO,CNN Wire,2/1/2012,613,"Updated 5:27 pm ET with details on executive compensation, more coming NEW YORK (CNNMoney) -- At long last, the Holy Grail of Internet IPOs is here. Facebook filed Wednesday to raise $5 billion in an initial public offering.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook users on IPO: 'It's time to get paid',CNN Wire,2/1/2012,512,"With Facebook's announcement Wednesday that it will become a publicly traded company, lots of folks were talking about it. On Facebook.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO highlights 'The Hacker Way',CNN Wire,2/1/2012,417,"NEW YORK (CNNMoney) -- In a letter to investors included in Facebook's IPO filing, CEO Mark Zuckerberg outlined his philosophy for running what has become a multi-billion-dollar business. At core of that philosophy: Love your hackers.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook taps emerging markets as it readies IPO,CNN Wire,2/1/2012,415,"Updates with filing LONDON (CNN) -- Facebook, which launched its blockbuster initial public offering Wednesday, is the undisputed social media king of the U.S. and Europe.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO filing reveals first look at company's finances,Contra Costa Times,2/1/2012,1434,"Declaring that Facebook was built to be not just a company but also to ""accomplish a social mission,"" the idealistic young creator of the world's largest online social network launched what will be the biggest Internet IPO in ...",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The key facts in Facebook's IPO paperwork, plus news on Wall Street and the economy",Contra Costa Times,2/1/2012,1599,"Today: Facebook's initial public offering paperwork offers investors and analysts the information to answer the two key questions facing the world's largest social network. Also: Wall Street starts February off with a bang, and ...",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook files long-awaited IPO, seeks at least $5 billion",Contra Costa Times,2/1/2012,1850,"In a milestone for one of Silicon Valley's hottest companies, Facebook on Wednesday filed papers announcing a $5 billion initial public offering of stock in the world's biggest social networking business.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: CEO Mark Zuckerberg's letter to potential investors,Contra Costa Times,2/1/2012,2256,"(Editor's note: In this letter to potential investors, CEO Mark Zuckerberg uses the lower-case 'f' that appears in the company's logo, rather than the capital 'F' in Facebook Inc.'s corporate name.)",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook users on the IPO: 'What will be on sale is you,' or 'Niiiice!!!!'",Contra Costa Times,2/1/2012,305,"As word of Facebook's IPO filing spread Wednesday afternoon, the news was greeted by its users with a heady blend of righteous indignation, crass humor and quixotic pronouncements that they should be reimbursed for all their personal ...",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon Valley still waiting for Facebook to update its IPO status,Contra Costa Times,2/1/2012,338,"Analysts, investors and Facebook fans awoke early Wednesday morning, eager to get a look at Facebook's filing for an initial public offering, which should include the financial information and other data the Menlo Park social network ...",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook taps Morgan Stanley for $5 billion IPO,Dayton Business Journal Online,2/1/2012,195,"Social networking goliath Facebook Inc. has chosen Morgan Stanley to lead its planned initial public offering that will seek to raise $5 billion,  Bloomberg News reported. The amount of the offering may increase.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Facebook deliver an IPO surprise? Will Facebook deliver an IPO surprise?,Deseret News Asbury Park Press,2/1/2012,1515,"NEW YORK É?? Facebook, the social network that changed ""friend"" from a noun to a verb, is expected to file as early as Wednesday to sell stock on the open market. Its debut is likely to be the most talked-about initial public ...",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twist expected from Facebook, which may file for IPO today",Detroit Free Press,2/1/2012,566,"Associated Press NEW YORK -- Facebook founder Mark Zuckerberg turns up at business conventions in a hoodie. ""Cocky"" is the word used to describe him most often, after ""billionaire."" He was Time's person of the year ...",Facebook,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook expected to file for IPO today,DMNews,2/1/2012,240,"Facebook is widely expected to file a prospectus with the Securities and Exchange Commission (SEC) after the markets close on Feb.  1, the first step in going public, according to multiple reports that cite sources familiar with the matter.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook files for $5 billion IPO,DMNews,2/1/2012,297,Facebook filed for a $5 billion initial public offering (IPO) just after 5 p.m. on Feb. 1. The company said in documents filed with the Securities and Exchange Commission (SEC) that it will use the ticker symbol É??FBÉ?ù and detailed its ...,Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social-Media Giant Facebook Files IPO Registration With SEC,Dow Jones News Service,2/1/2012,592,"--Deal likely to be priced in second quarter --Exact size, price, listing venue left blank --Plans to trade under symbol ""FB."" --Strong revenue growth and profits",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Founder Sets Lofty Goals In IPO Letter,Dow Jones News Service,2/1/2012,711,"Zuckerberg says Facebook could improve the way people connect to businesses, creating a stronger economy --He says the company hopes to change how people relate to their governments and social institutions",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIA WATCH: 5 Concerns About the Facebook IPO,Dow Jones News Service,2/1/2012,857,Zuckerberg will have to effectively lead a public company --Future growth and competition are concerns --how strong will the stomachs of investors be when company hits bumps in road,Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US STOCKS VIEW: Facebook's IPO Will Be Way Overvalued,Dow Jones News Service,2/1/2012,695,"--Based on reports Facebook will be valued at its IPO at as much as $100 billion and had 2011 revenue of $3.8 billion, its price-to-sales ratio will be around 26",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Media GiantFacebook Files IPO Registration With SEC,Dow Jones News Service,2/1/2012,337,"Social networking giant Facebook Inc. took the first step towards its highly anticipated IPO Wednesday, registering a preliminary prospectus with the Securities and Exchange Commission.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Registers With SEC For IPO,Dow Jones News Service,2/1/2012,6,Facebook Registers With SEC For IPO,Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morgan Stanley, JP Morgan, Goldman Sachs, Others Listed As Underwriters On Facebook IPO",Dow Jones News Service,2/1/2012,13,"Morgan Stanley, JP Morgan, Goldman Sachs, Others Listed As Underwriters On Facebook IPO",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKET TALK: Facebook's $5B IPO? Not Exactly,Dow Jones News Service,2/1/2012,105,Don't put much stock in Facebook's initial public offering filing saying it plans to raise up to an estimated $5B. Such estimates are typically used as a placeholder and adjusted at least once as a company and its ...,Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO Is A Two-Exchange Race,Dow Jones News Service,2/1/2012,1349,,Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social-Media Giant Facebook Files IPO Registration With SEC,Dow Jones News Service,2/1/2012,592,"Deal likely to be priced in second quarter --Exact size, price, listing venue left blank --Plans to trade under symbol ""FB."" --Strong revenue growth and profits",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Media Giant Facebook Files IPO Registration With SEC,Dow Jones News Service,2/1/2012,739,"--Deal likely to price in second quarter --Exact size, price, listing venue left blank --Plans to trade under symbol ""FB"" --Strong revenue growth and profits",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
